text,label
Urgent: Your account has been compromised. Click here to reset your password immediately.,phishing
"Dear user, you have won a $1000 gift card. Claim now!",phishing
This is your HR monthly newsletter. Please review the attached documents.,legitimate
Security alert: Unusual sign-in attempt detected. Verify your identity.,phishing
Invoice attached for your recent purchase. Thank you for your business.,legitimate
Final notice: Your email account will be suspended. Click to verify.,phishing
Meeting reminder: Cybersecurity training at 10 AM tomorrow.,legitimate
Your PayPal account has been limited. Log in to restore access.,phishing
Weekly company update: New features and team announcements.,legitimate
Congratulations! Youâ€™ve been selected for a cash reward. Act fast!,phishing
